,timestamps,mem,cpu,disk,clustername
109,1584294419999,119100104,12351,777716480,AMS01-TVPP1-CloudCenter-Cluster
110,1584294719999,119107592,12185,777822976,AMS01-TVPP1-CloudCenter-Cluster
111,1584295019999,119106872,12497,777822976,AMS01-TVPP1-CloudCenter-Cluster
112,1584295319999,119106144,12428,777822976,AMS01-TVPP1-CloudCenter-Cluster
113,1584295619999,119106408,12297,777822976,AMS01-TVPP1-CloudCenter-Cluster
114,1584295919999,119105696,12707,777822976,AMS01-TVPP1-CloudCenter-Cluster
115,1584296219999,119101336,12377,777822976,AMS01-TVPP1-CloudCenter-Cluster
116,1584296519999,119102552,12313,777822976,AMS01-TVPP1-CloudCenter-Cluster
117,1584296819999,119101920,12470,777822976,AMS01-TVPP1-CloudCenter-Cluster
118,1584297119999,119104248,12465,777822976,AMS01-TVPP1-CloudCenter-Cluster
119,1584297419999,119108080,12312,777822976,AMS01-TVPP1-CloudCenter-Cluster
120,1584297719999,119112112,12535,777822976,AMS01-TVPP1-CloudCenter-Cluster
121,1584298019999,119111328,12552,777822976,AMS01-TVPP1-CloudCenter-Cluster
122,1584298319999,119109816,12225,777880320,AMS01-TVPP1-CloudCenter-Cluster
123,1584298619999,119115832,12480,777880320,AMS01-TVPP1-CloudCenter-Cluster
124,1584298919999,119111344,12387,777985024,AMS01-TVPP1-CloudCenter-Cluster
125,1584299219999,119116936,12391,777985024,AMS01-TVPP1-CloudCenter-Cluster
126,1584299519999,119116136,12489,777985024,AMS01-TVPP1-CloudCenter-Cluster
127,1584299819999,119118944,12191,777985024,AMS01-TVPP1-CloudCenter-Cluster
128,1584300119999,119118808,12165,777985024,AMS01-TVPP1-CloudCenter-Cluster
129,1584300419999,119124304,12452,777985024,AMS01-TVPP1-CloudCenter-Cluster
130,1584300719999,119125816,12302,777985024,AMS01-TVPP1-CloudCenter-Cluster
131,1584301019999,119125352,12330,777985024,AMS01-TVPP1-CloudCenter-Cluster
132,1584301319999,119122184,12400,777985024,AMS01-TVPP1-CloudCenter-Cluster
133,1584301619999,119122096,12336,777985024,AMS01-TVPP1-CloudCenter-Cluster
134,1584301919999,119121152,12193,777985024,AMS01-TVPP1-CloudCenter-Cluster
135,1584302219999,119122000,12454,777985024,AMS01-TVPP1-CloudCenter-Cluster
136,1584302519999,119121440,12242,777985024,AMS01-TVPP1-CloudCenter-Cluster
137,1584302819999,119122528,12540,777985024,AMS01-TVPP1-CloudCenter-Cluster
138,1584303119999,119123480,12684,777985024,AMS01-TVPP1-CloudCenter-Cluster
139,1584303419999,119122080,12595,777985024,AMS01-TVPP1-CloudCenter-Cluster
140,1584303719999,119119168,12228,777985024,AMS01-TVPP1-CloudCenter-Cluster
141,1584304019999,119121824,12597,777985024,AMS01-TVPP1-CloudCenter-Cluster
142,1584304319999,119122576,12321,777985024,AMS01-TVPP1-CloudCenter-Cluster
143,1584304619999,119123664,12427,777985024,AMS01-TVPP1-CloudCenter-Cluster
144,1584304919999,119123720,12642,777985024,AMS01-TVPP1-CloudCenter-Cluster
145,1584305219999,119129632,12264,777985024,AMS01-TVPP1-CloudCenter-Cluster
146,1584305519999,119131088,12222,777985024,AMS01-TVPP1-CloudCenter-Cluster
147,1584305819999,119132688,12433,777985024,AMS01-TVPP1-CloudCenter-Cluster
148,1584306119999,119130280,12238,777985024,AMS01-TVPP1-CloudCenter-Cluster
149,1584306419999,119130496,12268,777985024,AMS01-TVPP1-CloudCenter-Cluster
150,1584306719999,119131096,12566,777985024,AMS01-TVPP1-CloudCenter-Cluster
151,1584307019999,119135112,12390,777985024,AMS01-TVPP1-CloudCenter-Cluster
152,1584307319999,119137056,12240,777985024,AMS01-TVPP1-CloudCenter-Cluster
153,1584307619999,119139336,12671,777985024,AMS01-TVPP1-CloudCenter-Cluster
154,1584307919999,119144016,12352,777985024,AMS01-TVPP1-CloudCenter-Cluster
155,1584308219999,119132784,12311,777985024,AMS01-TVPP1-CloudCenter-Cluster
156,1584308519999,119136064,12536,777985024,AMS01-TVPP1-CloudCenter-Cluster
157,1584308819999,119136584,12092,777985024,AMS01-TVPP1-CloudCenter-Cluster
158,1584309119999,119133728,12168,777985024,AMS01-TVPP1-CloudCenter-Cluster
159,1584309419999,119133904,12587,777985024,AMS01-TVPP1-CloudCenter-Cluster
160,1584309719999,119134056,12126,777985024,AMS01-TVPP1-CloudCenter-Cluster
161,1584310019999,119130296,12426,777985024,AMS01-TVPP1-CloudCenter-Cluster
162,1584310319999,119135328,12865,777985024,AMS01-TVPP1-CloudCenter-Cluster
